participant_id,puzzle_id,window_start,attention_label,attention_confidence,action_label,action_confidence,performance_label,performance_confidence,temporal_label,temporal_confidence,disagreement_type,disagreement_intensity,dominant_tension,n_contradictions,n_constructive,confidence_spread
9,Transition,2260.0034692,searching,0.807,active,0.64,progressing,0.9,persistent,0.75,contradictory,0.854,scattered_but_progressing,1,2,0.094
9,Transition,2265.0240124,searching,0.795,active,0.65,progressing,0.9,persistent,0.75,contradictory,0.848,scattered_but_progressing,1,2,0.09
9,Transition,2270.0120514,searching,0.753,active,0.581,progressing,0.9,persistent,0.75,contradictory,0.827,scattered_but_progressing,1,2,0.113
9,Transition,2275.0103446,focused,0.193,hesitant,0.488,progressing,0.9,transient,0.4,constructive,0.454,focused_progress,0,1,0.257
9,Transition,2280.0014486,searching,0.875,hesitant,0.85,progressing,0.767,transient,0.4,contradictory,0.821,scattered_but_progressing,1,1,0.191
9,Transition,2285.0113851,searching,0.695,hesitant,0.488,stalled,0.7,transient,0.4,constructive,0.324,pop_confirms_exploration,0,1,0.131
9,Transition,2290.0103031,searching,0.771,hesitant,0.85,progressing,0.767,transient,0.4,contradictory,0.769,scattered_but_progressing,1,1,0.175
9,Transition,2295.0040248,searching,0.764,hesitant,0.85,progressing,0.767,transient,0.4,contradictory,0.766,scattered_but_progressing,1,1,0.174
9,Transition,2300.0097486,searching,0.483,hesitant,0.85,progressing,0.76,persistent,0.75,contradictory,0.621,scattered_but_progressing,1,1,0.137
9,Transition,2305.0127717,searching,0.607,hesitant,0.65,progressing,0.877,persistent,0.75,contradictory,0.742,scattered_but_progressing,1,1,0.104
9,Transition,2310.0099102,searching,0.16,hesitant,0.65,progressing,0.861,persistent,0.75,contradictory,0.51,scattered_but_progressing,2,0,0.268
9,Transition,2315.0049381,searching,0.18,hesitant,0.85,progressing,0.712,persistent,0.75,contradictory,0.446,scattered_but_progressing,2,0,0.261
9,Transition,2320.0026289,focused,0.202,inactive,0.905,stalled,0.75,transient,0.4,contradictory,0.553,focused_but_idle,1,2,0.278
9,Transition,2325.0060708,focused,0.5,inactive,0.922,stalled,0.762,transient,0.4,contradictory,0.711,focused_but_idle,1,2,0.207
9,Transition,2330.0095301,focused,0.5,inactive,0.935,stalled,0.773,looping,0.85,contradictory,0.718,focused_but_idle,1,2,0.163
9,Transition,2335.0110829,focused,0.5,inactive,0.949,stalled,0.784,looping,0.85,contradictory,0.724,focused_but_idle,1,2,0.167
9,Transition,2340.0136448,focused,0.5,inactive,0.95,stalled,0.796,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.168
9,Transition,2345.0146686,focused,0.5,inactive,0.95,stalled,0.807,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.168
9,Transition,2350.0144421,focused,0.5,inactive,0.95,stalled,0.818,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.169
9,Transition,2355.0003352,focused,0.5,inactive,0.95,stalled,0.83,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.169
9,Transition,2360.0155174,focused,0.5,inactive,0.95,stalled,0.841,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.17
9,Transition,2365.0001449,focused,0.5,inactive,0.95,stalled,0.853,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.171
9,Transition,2370.0001267,focused,0.5,inactive,0.95,stalled,0.864,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.172
9,Transition,2375.0012227,focused,0.5,inactive,0.95,stalled,0.875,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.174
9,Transition,2380.0013374,focused,0.5,inactive,0.95,stalled,0.887,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.175
9,Transition,2385.0005677,focused,0.5,inactive,0.95,stalled,0.898,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.176
9,Transition,2390.0012141,focused,0.5,inactive,0.95,stalled,0.909,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.178
9,Transition,2395.0022481,focused,0.5,inactive,0.95,stalled,0.921,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.18
9,Transition,2400.0005082,focused,0.5,inactive,0.95,stalled,0.932,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.182
9,Transition,2405.0005114,focused,0.5,inactive,0.95,stalled,0.943,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.184
9,Transition,2410.0012081,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2415.0154411,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2420.0000795,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2425.0002691,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2430.0156674,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2435.002015,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2440.0003419,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2445.0155092,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2450.0002831,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2455.0153675,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2460.000361,focused,0.5,inactive,0.95,stalled,0.95,looping,0.85,contradictory,0.725,focused_but_idle,1,2,0.185
9,Transition,2465.0013317,searching,0.199,inactive,0.95,stalled,0.95,looping,0.65,contradictory,0.575,scanning_but_passive,2,2,0.307
9,Transition,2470.0085763,searching,0.597,hesitant,0.85,stalled,0.55,looping,0.65,constructive,0.564,pop_confirms_exploration,0,1,0.114
9,Transition,2475.0064589,searching,0.529,inactive,0.922,stalled,0.95,looping,0.85,contradictory,0.726,scanning_but_passive,2,2,0.168
9,Transition,2480.0034586,searching,0.27,hesitant,0.85,stalled,0.55,looping,0.85,contradictory,0.282,pop_says_stuck_but_searching,1,0,0.241
9,Transition,2485.0008561,searching,0.514,inactive,0.931,stalled,0.95,looping,0.85,contradictory,0.723,scanning_but_passive,2,2,0.176
9,Transition,2490.0145013,searching,0.758,hesitant,0.488,stalled,0.413,looping,0.85,constructive,0.416,pop_confirms_exploration,0,1,0.182
9,Transition,2495.0095562,searching,0.401,inactive,0.943,stalled,0.95,looping,0.85,contradictory,0.672,scanning_but_passive,2,2,0.226
9,Transition,2500.0100823,searching,0.95,active,0.499,stalled,0.413,looping,0.85,contradictory,0.456,acting_without_progress,1,2,0.227
9,Transition,2505.0089513,searching,0.842,inactive,0.881,stalled,0.95,looping,0.85,contradictory,0.861,scanning_but_passive,2,2,0.043
