participant_id,window_start,expert_state,expert_action,expert_prompt_type,expert_content,expert_rule,expert_prompt_count,mapped_gaze_on_instruction,mapped_puzzle_interaction,mapped_object_in_hand,mapped_area_type,mapped_no_trigger_time
9,385.012573,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.54,False,False,hub,390.0
9,390.0048577,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.54,False,False,hub,395.0
9,395.007187,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.06,False,False,hub,400.0
9,400.0043275,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,4.94,False,False,hub,405.0
9,405.0011518,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,410.0
9,410.0121172,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,415.0
9,415.0090055,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.01,False,False,hub,420.0
9,420.0015171,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,True,False,hub,425.0
9,425.0034264,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.56,False,False,hub,430.0
9,430.0095915,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,2.53,False,False,hub,435.0
9,435.0101211,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.67,False,False,hub,440.0
9,440.0040381,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.39,False,False,hub,445.0
9,445.0054737,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.59,False,False,hub,450.0
9,450.0005973,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.55,True,False,hub,455.0
9,455.0086695,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.94,False,False,hub,460.0
9,460.0031175,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.34,False,False,hub,465.0
9,465.0080161,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.0,False,False,hub,470.0
9,470.0047313,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.21,True,False,hub,475.0
9,475.0145837,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.99,False,False,hub,480.0
9,480.0090518,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.88,False,False,hub,485.0
9,485.0033554,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,490.0
9,490.0105137,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.79,False,False,hub,495.0
9,495.0013721,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,500.0
9,500.0038857,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.0,False,False,hub,505.0
9,505.0009191,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.34,False,False,hub,510.0
9,510.0099788,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.81,False,False,hub,515.0
9,515.0005223,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,1.5,False,False,hub,520.0
9,520.0041885,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,2.72,False,False,hub,525.0
9,525.0023964,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.62,True,False,hub,530.0
9,530.0045519,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,0.47,False,False,hub,535.0
9,535.0026832,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.37,True,False,hub,540.0
9,540.0113972,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.0,False,False,hub,545.0
9,545.0068275,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.14,False,False,hub,550.0
9,550.0074829,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.81,False,False,hub,555.0
9,555.0128862,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,0.49,True,False,hub,560.0
9,560.0106646,EXPLORE,PROMPT,V,Try to explore other puzzles,RULE_3_NO_ENTRY,0,2.81,False,False,hub,565.0
9,565.0106358,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,5.0,False,False,hub,570.0
9,570.0091064,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.24,False,False,hub,575.0
9,575.0094089,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.76,False,False,hub,580.0
9,580.0011033,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,3.17,False,False,hub,585.0
9,585.0001511,EXPLORE,NONE,,,RULE_3_NO_ENTRY,0,4.86,False,False,hub,590.0
