fixation_count,fixation_duration_mean,fixation_duration_max,fixation_duration_std,saccade_count,saccade_amplitude_mean,saccade_amplitude_max,gaze_target_entropy,n_unique_targets,clue_dwell,puzzle_dwell,env_dwell,puzzle_object_ratio,gaze_head_coupling,revisit_rate,gaze_dispersion,eye_confidence_mean,blink_proxy,n_gaze_samples,participant_id,window_start
7,0.6341,2.6609,0.8467,6,1.1335,18.3583,1.1597,7,0.0295,0.0,0.9607,0.0295,0.0596,0.5714,0.4497,1.0,0.0,305,1,360.0
13,0.2602,0.834,0.1918,12,1.68,17.9333,3.2664,22,0.0,0.0167,0.7567,0.0167,0.2121,0.3846,0.5871,1.0,0.0,300,1,365.0
7,0.5361,1.3175,0.4282,6,0.9582,23.4651,1.964,14,0.01,0.0267,0.9533,0.0367,0.6702,0.5714,0.1591,1.0,0.0,300,1,370.0
13,0.2607,0.4944,0.1092,12,1.1128,14.4772,3.2156,20,0.0,0.2961,0.6941,0.2961,0.4219,0.4615,1.8264,1.0,0.0,304,1,375.0
10,0.2126,0.4159,0.0883,9,2.0592,20.0705,3.711,26,0.0,0.4923,0.4538,0.4923,0.501,0.4,0.5784,1.0,0.0,260,1,380.0
11,0.2725,0.8755,0.1994,10,0.713,17.1421,3.1915,21,0.0586,0.2085,0.5603,0.2671,0.3348,0.5455,0.7654,1.0,0.0,307,1,385.0
9,0.428,1.824,0.5095,8,1.75,38.0704,1.8579,13,0.0,0.003,0.9512,0.003,0.7105,0.3333,0.5913,1.0,0.0,328,1,390.0
7,0.5331,2.5229,0.8173,6,0.6844,12.1785,2.1064,12,0.0,0.0686,0.7745,0.0686,0.1059,0.2857,0.0892,1.0,0.0,306,1,395.0
13,0.3053,0.8497,0.2266,12,1.1217,14.2484,2.2727,9,0.2238,0.1608,0.6154,0.3846,0.1515,0.5385,0.4667,1.0,0.0,286,1,400.0
7,0.6598,1.5396,0.4935,6,0.963,12.2284,1.178,3,0.5357,0.0,0.4643,0.5357,0.0005,0.7143,0.3328,1.0,0.0,280,1,405.0
6,0.7828,3.1909,1.0893,5,0.7027,12.1312,0.9748,3,0.6943,0.0,0.3057,0.6943,0.0546,0.6667,0.0874,1.0,0.0,265,1,410.0
1,4.9694,4.9694,0.0,0,0.519,7.6143,-0.0,1,1.0,0.0,0.0,1.0,0.0281,0.0,0.0525,1.0,0.0,249,1,415.0
2,2.4817,3.7875,1.3058,1,0.5895,14.0267,0.0357,2,0.9962,0.0038,0.0,1.0,0.0723,0.5,0.0546,1.0,0.0,266,1,420.0
4,1.2244,2.8108,0.9526,3,0.9082,18.651,1.0263,4,0.7717,0.0036,0.2246,0.7754,0.0254,0.25,0.1863,1.0,0.0,276,1,425.0
3,1.648,4.6078,2.0929,2,0.8815,13.259,0.4676,3,0.9225,0.0295,0.048,0.952,0.1142,0.0,0.1328,1.0,0.0,271,1,430.0
3,1.5354,4.1878,1.8767,2,1.1873,22.0503,1.0369,7,0.8171,0.0976,0.0772,0.9146,0.453,0.0,0.2304,1.0,0.0,246,1,435.0
9,0.3442,0.7068,0.1881,8,0.7528,13.9319,2.6482,9,0.0,0.8788,0.1098,0.8788,0.2865,0.5556,0.2397,1.0,0.0,264,1,440.0
1,4.9325,4.9325,0.0,0,0.3362,9.565,0.0647,2,0.0,0.0076,0.9924,0.0076,0.1527,0.0,0.0612,1.0,0.0,262,1,445.0
8,0.4815,1.2344,0.3676,7,1.3446,16.203,2.3205,11,0.0752,0.3083,0.609,0.3835,0.0721,0.5,0.5548,1.0,0.0,266,1,450.0
1,4.9868,4.9868,0.0,0,0.7106,10.2106,-0.0,1,1.0,0.0,0.0,1.0,0.2513,0.0,0.1021,1.0,0.0,276,1,455.0
7,0.616,0.9839,0.3152,6,1.12,16.1033,1.9173,4,0.3653,0.0,0.6347,0.3653,0.2307,0.4286,0.2307,1.0,0.0,271,1,460.0
6,0.8049,3.2702,1.1208,5,1.008,20.3872,1.0916,4,0.0,0.0,0.9646,0.0,0.0476,0.3333,0.3334,1.0,0.0,254,1,465.0
2,2.0237,3.8983,1.8746,1,0.7804,17.7676,1.2677,10,0.0,0.0582,0.8291,0.0582,0.1793,0.0,0.2028,1.0,0.0,275,1,470.0
9,0.4788,1.8159,0.5047,8,1.1301,15.2227,1.756,8,0.0,0.0468,0.9388,0.0468,0.1427,0.6667,0.5184,1.0,0.0,278,1,475.0
7,0.5407,2.0445,0.6494,6,0.9528,18.5039,1.7925,8,0.0,0.0,0.9271,0.0,0.3314,0.5714,0.5317,1.0,0.0,288,1,480.0
7,0.6657,2.0471,0.6792,6,0.9508,15.2633,1.4692,5,0.0,0.0137,0.9863,0.0137,0.466,0.5714,0.443,1.0,0.0,292,1,485.0
11,0.3869,1.406,0.418,10,1.5804,18.8607,1.7881,8,0.0,0.0,0.9682,0.0,0.4455,0.7273,0.4189,1.0,0.0,283,1,490.0
8,0.4869,1.1972,0.4661,7,1.4617,21.6869,2.2766,18,0.0064,0.0224,0.9359,0.0288,0.014,0.375,0.408,1.0,0.0,312,1,495.0
10,0.3594,0.6385,0.1646,9,0.8385,37.2334,2.4998,18,0.0032,0.0032,0.9838,0.0065,0.318,0.6,1.3628,1.0,0.0,308,1,500.0
12,0.2833,0.8339,0.207,11,1.0888,45.6646,3.0686,15,0.1044,0.2532,0.6392,0.3576,0.8832,0.3333,0.6505,1.0,0.0,316,1,505.0
9,0.5094,1.1918,0.3747,8,0.5922,8.7576,1.1851,7,0.7448,0.0,0.2552,0.7448,0.2746,0.6667,0.1133,1.0,0.0,290,1,510.0
5,0.9804,2.2851,0.7821,4,0.5464,10.6559,0.5484,2,0.8733,0.0,0.1267,0.8733,0.1437,0.6,0.0706,1.0,0.0,292,1,515.0
3,1.6483,4.4096,1.9557,2,0.7584,11.8266,0.1969,2,0.9695,0.0,0.0305,0.9695,0.057,0.3333,0.0881,1.0,0.0,295,1,520.0
1,4.9977,4.9977,0.0,0,0.6645,9.6186,-0.0,1,1.0,0.0,0.0,1.0,0.1756,0.0,0.0644,1.0,0.0,300,1,525.0
9,0.2967,0.9598,0.2605,8,1.4709,18.0585,3.7709,21,0.3355,0.0658,0.5921,0.4013,0.4184,0.1111,0.4767,1.0,0.0,304,1,530.0
8,0.5058,2.0937,0.622,7,0.5103,11.7449,2.2075,11,0.1828,0.0,0.8172,0.1828,0.0412,0.375,0.1113,1.0,0.0,290,1,535.0
7,0.6541,1.5453,0.4753,6,0.4413,7.9075,2.0349,7,0.1181,0.0,0.8819,0.1181,0.2533,0.2857,0.1259,1.0,0.0,288,1,540.0
6,0.7645,1.6466,0.5288,5,0.4701,10.0915,1.4707,5,0.0,0.0,1.0,0.0,0.1871,0.5,0.1321,1.0,0.0,293,1,545.0
3,1.6556,3.0592,1.1813,2,0.313,3.8454,0.2285,2,0.0,0.0,1.0,0.0,0.0788,0.3333,0.0838,1.0,0.0,297,1,550.0
5,0.965,2.4834,0.886,4,0.5921,12.7775,0.7953,4,0.0967,0.0,0.9033,0.0967,0.2894,0.4,0.1803,1.0,0.0,300,1,555.0
12,0.2585,0.5711,0.1635,11,0.9243,15.9626,2.7355,11,0.0269,0.0741,0.899,0.101,0.3462,0.5,0.3454,1.0,0.0,297,1,560.0
10,0.3856,0.8828,0.278,9,0.8142,12.6304,1.5961,8,0.0139,0.1076,0.8785,0.1215,0.1002,0.6,0.2968,1.0,0.0,288,1,565.0
8,0.4239,1.3077,0.3801,7,1.8874,18.3529,2.8461,25,0.0131,0.0361,0.8885,0.0492,0.2837,0.375,0.4844,1.0,0.0,305,1,570.0
12,0.3476,1.1165,0.2845,11,1.1514,18.4659,2.1681,12,0.0066,0.0131,0.9541,0.0197,0.0295,0.6667,0.4742,1.0,0.0,305,1,575.0
10,0.3191,1.0729,0.2776,9,1.6938,24.8375,3.101,16,0.0066,0.223,0.7672,0.2295,0.3006,0.3,0.4257,1.0,0.0,305,1,580.0
9,0.4006,1.326,0.3715,8,1.1758,26.2199,2.3202,9,0.0,0.0034,0.9966,0.0034,0.0689,0.4444,0.3317,1.0,0.0,293,1,585.0
5,0.9283,1.8455,0.6769,4,1.2924,22.2927,1.4165,7,0.0517,0.0,0.9483,0.0517,0.1672,0.4,0.2782,1.0,0.0,290,1,590.0
5,0.7959,2.8614,1.0392,4,1.7513,20.195,1.6587,14,0.6519,0.0102,0.3345,0.6621,0.2443,0.6,0.3521,1.0,0.0,293,1,595.0
10,0.4263,0.9471,0.2664,9,1.6553,24.5013,2.0391,8,0.0,0.1524,0.8381,0.1524,0.4417,0.6,0.3222,1.0,0.0,210,1,600.0
7,0.6246,1.6439,0.5905,6,0.9067,19.3145,1.6271,5,0.0,0.0136,0.9636,0.0136,0.4035,0.5714,0.1938,1.0,0.0,220,1,605.0
9,0.3818,0.8193,0.2605,8,0.8523,15.9286,2.7163,11,0.1303,0.0,0.8272,0.1303,0.4876,0.4444,0.3643,1.0,0.0,353,1,610.0
13,0.3252,0.5444,0.1558,12,0.8856,17.9727,2.0057,5,0.0,0.0,0.9339,0.0,0.492,0.6154,0.2128,1.0,0.0,348,1,615.0
11,0.408,0.8196,0.2108,10,0.7546,25.828,1.3268,4,0.0,0.0,0.9415,0.0,0.3598,0.7273,0.1705,1.0,0.0,325,1,620.0
5,0.9566,2.7129,0.9483,4,0.4335,6.1597,1.2105,3,0.0,0.0,1.0,0.0,0.2921,0.4,0.098,1.0,0.0,314,1,625.0
11,0.3966,0.8527,0.2028,10,0.4366,3.7796,1.4827,3,0.0,0.0,1.0,0.0,0.3264,0.7273,0.051,1.0,0.0,308,1,630.0
8,0.4782,1.9219,0.5995,7,1.512,17.5487,2.0952,12,0.0,0.074,0.9164,0.074,0.2242,0.25,0.4331,1.0,0.0,311,1,635.0
9,0.4839,1.2094,0.3327,8,1.3551,22.2006,1.9199,9,0.0,0.0223,0.9554,0.0223,0.2452,0.5556,0.3643,1.0,0.0,314,1,640.0
12,0.3356,0.8093,0.2305,11,0.7714,25.3091,1.9474,5,0.0,0.0,1.0,0.0,0.2017,0.6667,0.1697,1.0,0.0,306,1,645.0
10,0.3883,1.2691,0.3443,9,1.2316,24.8368,2.3477,15,0.0,0.055,0.866,0.055,0.1568,0.6,0.3301,1.0,0.0,291,1,650.0
6,0.7811,2.4954,0.8187,5,0.9042,19.2451,1.581,6,0.0,0.0103,0.9897,0.0103,0.4159,0.5,0.2805,1.0,0.0,292,1,655.0
11,0.2762,1.0077,0.2524,10,1.3432,16.6022,3.32,28,0.0131,0.0066,0.7475,0.0197,0.0891,0.4545,0.568,1.0,0.0,305,1,660.0
9,0.2363,0.458,0.1217,8,1.4387,17.0942,2.7807,18,0.1553,0.0186,0.6491,0.1739,0.0661,0.4444,0.4461,1.0,0.0,322,1,665.0
6,0.5405,1.295,0.4306,5,1.3343,21.5822,3.1786,17,0.1419,0.1419,0.6892,0.2838,0.0148,0.1667,0.3452,1.0,0.0,296,1,670.0
4,1.1971,2.455,0.7847,3,0.8489,18.6218,1.3731,7,0.2491,0.0,0.7509,0.2491,0.3904,0.25,0.2268,1.0,0.0,293,1,675.0
7,0.615,2.6465,0.8369,6,1.1826,44.3354,2.0715,14,0.1496,0.0292,0.8175,0.1788,0.8496,0.2857,0.2482,1.0,0.0,274,1,680.0
9,0.3836,2.2005,0.6457,8,0.7563,17.6449,1.2435,7,0.0507,0.0,0.9493,0.0507,0.1605,0.7778,0.424,1.0,0.0,296,1,685.0
22,0.1438,0.6267,0.106,21,0.7296,14.6362,1.1745,4,0.098,0.0,0.902,0.098,0.2194,0.9091,0.168,1.0,0.0,296,1,690.0
3,1.5569,4.0588,1.77,2,1.1513,22.5231,0.7059,4,0.8381,0.0,0.1619,0.8381,0.4408,0.3333,0.1574,1.0,0.0,278,1,695.0
3,1.1861,2.3728,0.9245,2,1.658,27.3664,1.8674,13,0.0251,0.0179,0.9462,0.043,0.3896,0.3333,0.3783,1.0,0.0,279,1,700.0
3,0.1125,0.1138,0.0016,2,0.5527,8.4118,0.6883,3,0.1695,0.0,0.8305,0.1695,0.2467,0.6667,0.053,1.0,0.0,295,1,705.0
9,0.1722,0.4221,0.1077,8,1.3235,19.7518,1.6015,5,0.0959,0.0,0.9041,0.0959,0.3662,0.6667,0.2836,1.0,0.0,292,1,710.0
13,0.2547,0.6244,0.1684,12,1.5842,18.9958,3.0573,14,0.0393,0.1786,0.7286,0.2179,0.1421,0.4615,0.5239,1.0,0.0,280,1,715.0
22,0.1522,0.3155,0.0439,21,1.4975,16.3071,1.9711,10,0.059,0.0035,0.9271,0.0625,0.1617,0.8182,0.4462,1.0,0.0,288,1,720.0
6,0.1423,0.2137,0.0362,5,2.2796,24.0291,3.5582,32,0.0033,0.0903,0.7224,0.0936,0.0498,0.5,0.5977,1.0,0.0,299,1,725.0
5,0.6906,1.8131,0.6627,4,1.0713,15.28,2.083,17,0.0,0.0,0.9132,0.0,0.2931,0.4,0.4096,1.0,0.0,265,1,730.0
12,0.3186,1.2271,0.2898,11,0.8182,14.322,2.8237,13,0.1315,0.0796,0.7716,0.2111,0.4004,0.3333,1.0965,1.0,0.0,289,1,735.0
4,1.209,3.0619,1.1534,3,0.6982,19.1753,0.8979,3,0.7212,0.0,0.2788,0.7212,0.0408,0.5,0.0751,1.0,0.0,312,1,740.0
7,0.6645,1.8599,0.5538,6,0.7926,12.5087,0.6859,2,0.8173,0.0,0.1827,0.8173,0.0287,0.7143,0.073,1.0,0.0,312,1,745.0
5,0.9498,2.2795,0.829,4,0.8002,19.3245,1.3384,4,0.4822,0.0,0.5178,0.4822,0.0305,0.4,0.2112,1.0,0.0,309,1,750.0
6,0.8131,1.7239,0.5395,5,0.8116,15.5539,1.4208,4,0.5916,0.0,0.4084,0.5916,0.0098,0.5,0.2332,1.0,0.0,311,1,755.0
5,0.9628,1.8385,0.6233,4,0.7567,13.1978,0.3333,2,0.0,0.0,1.0,0.0,0.0232,0.6,0.1721,1.0,0.0,309,1,760.0
16,0.2745,0.7797,0.1637,15,1.4096,14.8757,1.2547,4,0.2212,0.0032,0.7756,0.2244,0.014,0.8125,0.2439,1.0,0.0,312,1,765.0
7,0.6387,1.7417,0.5873,6,0.866,17.1663,0.7834,5,0.8907,0.0,0.1093,0.8907,0.1772,0.7143,0.0821,1.0,0.0,311,1,770.0
2,2.4496,3.6532,1.2036,1,0.6051,18.8621,0.9221,4,0.7325,0.0,0.2675,0.7325,0.2558,0.0,0.218,1.0,0.0,314,1,775.0
6,0.782,3.1413,1.06,5,0.708,18.0209,1.289,5,0.0511,0.0,0.9425,0.0511,0.3638,0.3333,0.1836,1.0,0.0,313,1,780.0
2,2.4769,3.589,1.1121,1,0.5767,7.4086,0.0313,2,1.0,0.0,0.0,1.0,0.0268,0.5,0.0687,1.0,0.0,310,1,785.0
5,0.8329,1.8766,0.6759,4,0.5936,15.2288,1.6582,10,0.0863,0.0639,0.7987,0.1502,0.043,0.4,0.1535,1.0,0.0,313,1,790.0
3,1.6264,3.106,1.1237,2,0.4969,12.6245,0.9468,2,0.0,0.0,1.0,0.0,0.0199,0.3333,0.1687,1.0,0.0,315,1,795.0
